customer_location,age,gender,mobile_name,sell_price,came_from_facebook,follows_facebook_page,previous_customer,heard_about_shop,engagement_score,engagement_level,price_category
inside_rangamati,48,f,vivo_y200_5g_6/128,18032.0,no,no,no,no,0,Low,Medium
rangamati_sadar,23,m,iqoo_z7_5g_6/128,20830.0,no,yes,no,yes,2,Medium,Medium
outside_rangamati,36,m,pixel_7a_8/128,20550.0,no,yes,no,yes,2,Medium,Medium
rangamati_sadar,23,m,iphone_16_pro_max_1tb,200333.0,yes,yes,yes,yes,3,High,High
rangamati_sadar,21,m,narzo_n53_4/64,13283.0,yes,yes,no,yes,3,High,Low
outside_rangamati,30,f,redmi_note_12_pro_8/128,27815.0,yes,yes,no,yes,3,High,Medium
rangamati_sadar,28,m,galaxy_a55_5g_8/128,22226.0,yes,yes,no,no,2,Medium,Medium
rangamati_sadar,47,m,iphone_16_pro_256gb,26762.0,no,yes,no,no,1,Low,Medium
inside_rangamati,18,m,r-70_turbo_5g_6/128,17011.0,yes,yes,no,no,2,Medium,Medium
inside_rangamati,36,f,moto_g85_5g_8/128,18321.0,no,no,no,no,0,Low,Medium
rangamati_sadar,25,f,pixel_7a_8/128,25114.0,no,yes,yes,no,1,Low,Medium
rangamati_sadar,41,f,vivo_t3x_5g_8/128,13256.0,yes,yes,no,yes,3,High,Low
rangamati_sadar,42,m,redmi_note_12_pro_8/128,17260.0,yes,yes,yes,yes,3,High,Medium
rangamati_sadar,42,f,moto_g85_5g_8/128,13733.0,no,no,no,no,0,Low,Low
outside_rangamati,23,m,galaxy_s24_ultra_12/256,15219.0,yes,no,yes,yes,2,Medium,Medium
outside_rangamati,49,f,r-70_turbo_5g_6/128,21658.0,yes,no,yes,no,1,Low,Medium
rangamati_sadar,34,m,redmi_note_12_pro_8/128,13211.0,yes,yes,no,no,2,Medium,Low
rangamati_sadar,23,m,galaxy_s24_ultra_12/256,12927.0,no,yes,no,no,1,Low,Low
rangamati_sadar,33,m,iphone_16_pro_max_1tb,74307.0,yes,no,no,yes,2,Medium,High
outside_rangamati,33,f,galaxy_a55_5g_8/128,20123.0,yes,yes,no,no,2,Medium,Medium
inside_rangamati,49,m,iphone_16_pro_max_1tb,21682.0,yes,no,no,yes,2,Medium,Medium
inside_rangamati,28,f,note_14_pro_5g_8/256,24155.0,yes,yes,no,no,2,Medium,Medium
inside_rangamati,38,f,note_14_pro_5g_8/256,21682.0,no,yes,yes,yes,2,Medium,Medium
inside_rangamati,43,m,iphone_16_pro_256gb,23496.0,no,no,no,no,0,Low,Medium
outside_rangamati,39,f,vivo_t3x_5g_8/128,25850.0,no,no,no,yes,1,Low,Medium
inside_rangamati,22,m,moto_g85_5g_8/128,26609.0,no,no,no,yes,1,Low,Medium
outside_rangamati,28,f,galaxy_s24_ultra_12/256,17503.0,yes,no,no,yes,2,Medium,Medium
outside_rangamati,43,f,iqoo_neo_9_pro_5g_12/256,19409.0,no,yes,no,no,1,Low,Medium
rangamati_sadar,36,m,note_14_pro_5g_8/256,16981.0,no,yes,no,yes,2,Medium,Medium
inside_rangamati,41,f,note_14_pro_5g_8/256,18771.0,no,no,no,yes,1,Low,Medium
inside_rangamati,32,f,moto_g85_5g_8/128,25909.0,no,no,no,yes,1,Low,Medium
rangamati_sadar,19,f,narzo_n53_4/64,16755.0,no,yes,no,yes,2,Medium,Medium
rangamati_sadar,43,m,galaxy_m35_5g_8/128,23220.0,no,no,yes,no,0,Low,Medium
rangamati_sadar,25,m,galaxy_s24_ultra_12/256,25488.0,no,no,no,no,0,Low,Medium
outside_rangamati,33,f,galaxy_m35_5g_8/128,26038.0,no,no,no,no,0,Low,Medium
outside_rangamati,49,f,galaxy_m35_5g_8/128,25295.0,yes,no,no,yes,2,Medium,Medium
inside_rangamati,35,f,galaxy_m35_5g_8/128,26616.0,yes,yes,yes,yes,3,High,Medium
rangamati_sadar,47,m,vivo_y200_5g_6/128,20522.0,no,yes,no,yes,2,Medium,Medium
outside_rangamati,44,f,pixel_7a_8/128,20549.0,no,no,no,no,0,Low,Medium
rangamati_sadar,48,m,r-70_turbo_5g_6/128,22339.0,no,no,no,yes,1,Low,Medium
outside_rangamati,33,f,vivo_y200_5g_6/128,20868.0,yes,no,no,yes,2,Medium,Medium
inside_rangamati,21,f,pixel_8_pro_12/256,68924.0,no,no,no,yes,1,Low,High
outside_rangamati,19,m,r-70_turbo_5g_6/128,20713.0,no,yes,no,no,1,Low,Medium
inside_rangamati,37,f,iqoo_neo_9_pro_5g_12/256,24313.0,no,no,yes,no,0,Low,Medium
rangamati_sadar,44,f,vivo_t3x_5g_8/128,24706.0,no,no,no,no,0,Low,Medium
inside_rangamati,32,m,iphone_16_pro_max_1tb,22135.0,no,no,yes,no,0,Low,Medium
inside_rangamati,42,m,note_14_pro_5g_8/256,36106.0,no,no,no,no,0,Low,High
outside_rangamati,24,m,vivo_t3x_5g_8/128,15587.0,yes,yes,yes,yes,3,High,Medium
outside_rangamati,33,m,vivo_y200_5g_6/128,23578.0,no,yes,no,no,1,Low,Medium
outside_rangamati,33,m,pixel_8_pro_12/256,71078.0,no,no,no,yes,1,Low,High
rangamati_sadar,49,m,pixel_7a_8/128,21240.0,no,no,yes,yes,1,Low,Medium
rangamati_sadar,19,f,iqoo_z7_5g_6/128,20083.0,yes,no,no,yes,2,Medium,Medium
inside_rangamati,47,m,redmi_note_12_pro_8/128,27333.0,no,yes,yes,yes,2,Medium,Medium
rangamati_sadar,42,f,pixel_8_pro_12/256,31441.0,yes,yes,no,yes,3,High,High
rangamati_sadar,37,m,note_11s_6/128,24412.0,no,no,yes,yes,1,Low,Medium
rangamati_sadar,25,m,iphone_16_pro_256gb,25078.0,no,yes,no,no,1,Low,Medium
outside_rangamati,33,f,galaxy_m35_5g_8/128,18919.0,yes,no,yes,no,1,Low,Medium
inside_rangamati,29,f,iqoo_z7_5g_6/128,19692.0,no,yes,yes,no,1,Low,Medium
rangamati_sadar,18,f,galaxy_m35_5g_8/128,17959.0,yes,no,no,no,1,Low,Medium
inside_rangamati,43,f,galaxy_a55_5g_8/128,39413.0,no,yes,no,yes,2,Medium,High
outside_rangamati,35,m,vivo_y200_5g_6/128,19537.0,yes,no,no,yes,2,Medium,Medium
rangamati_sadar,30,m,note_14_pro_5g_8/256,36180.0,yes,yes,no,no,2,Medium,High
inside_rangamati,23,f,pixel_8_pro_12/256,17192.0,no,no,yes,yes,1,Low,Medium
inside_rangamati,44,f,note_14_pro_5g_8/256,15327.0,no,yes,no,yes,2,Medium,Medium
rangamati_sadar,42,m,vivo_y200_5g_6/128,22996.0,no,no,yes,yes,1,Low,Medium
outside_rangamati,38,m,galaxy_a55_5g_8/128,39598.0,no,yes,no,yes,2,Medium,High
inside_rangamati,18,f,narzo_n53_4/64,25617.0,no,no,no,yes,1,Low,Medium
inside_rangamati,41,m,r-70_turbo_5g_6/128,24416.0,no,no,no,yes,1,Low,Medium
rangamati_sadar,41,m,r-70_turbo_5g_6/128,22104.0,yes,no,no,yes,2,Medium,Medium
outside_rangamati,33,m,moto_g85_5g_8/128,18792.0,no,no,no,yes,1,Low,Medium
inside_rangamati,20,m,moto_g85_5g_8/128,19852.0,yes,yes,yes,yes,3,High,Medium
rangamati_sadar,48,m,pixel_8_pro_12/256,111419.0,yes,no,no,no,1,Low,High
inside_rangamati,37,m,vivo_t3x_5g_8/128,13866.0,yes,yes,no,yes,3,High,Low
outside_rangamati,41,f,narzo_n53_4/64,22768.0,no,yes,no,no,1,Low,Medium
inside_rangamati,49,f,moto_g85_5g_8/128,26314.0,no,no,no,no,0,Low,Medium
inside_rangamati,48,f,galaxy_a55_5g_8/128,15337.0,yes,no,yes,yes,2,Medium,Medium
rangamati_sadar,43,f,r-70_turbo_5g_6/128,24099.0,no,yes,no,no,1,Low,Medium
outside_rangamati,36,m,galaxy_a55_5g_8/128,24814.0,no,yes,yes,no,1,Low,Medium
outside_rangamati,47,f,narzo_n53_4/64,15214.0,yes,no,no,yes,2,Medium,Medium
inside_rangamati,22,f,r-70_turbo_5g_6/128,14061.0,no,no,yes,no,0,Low,Low
rangamati_sadar,37,f,moto_g85_5g_8/128,21700.0,yes,no,no,no,1,Low,Medium
outside_rangamati,30,f,moto_g85_5g_8/128,24072.0,no,no,yes,yes,1,Low,Medium
rangamati_sadar,18,m,pixel_7a_8/128,21682.0,no,no,no,yes,1,Low,Medium
inside_rangamati,47,m,vivo_t3x_5g_8/128,24670.0,no,no,no,yes,1,Low,Medium
inside_rangamati,43,f,r-70_turbo_5g_6/128,23995.0,yes,no,yes,yes,2,Medium,Medium
inside_rangamati,18,f,pixel_8_pro_12/256,12756.0,no,no,no,no,0,Low,Low
outside_rangamati,39,m,iphone_16_pro_256gb,18954.0,no,yes,no,yes,2,Medium,Medium
outside_rangamati,36,m,pixel_8_pro_12/256,14857.0,no,no,yes,yes,1,Low,Low
rangamati_sadar,41,f,note_14_pro_5g_8/256,36446.0,no,no,yes,no,0,Low,High
outside_rangamati,21,f,iphone_16_pro_256gb,14858.0,no,yes,no,yes,2,Medium,Low
outside_rangamati,46,f,pixel_7a_8/128,44515.0,no,no,no,yes,1,Low,High
outside_rangamati,35,f,galaxy_s24_ultra_12/256,73490.0,no,no,no,no,0,Low,High
inside_rangamati,41,f,note_11s_6/128,18633.0,yes,yes,no,yes,3,High,Medium
rangamati_sadar,46,m,moto_g85_5g_8/128,21682.0,no,no,no,yes,1,Low,Medium
rangamati_sadar,20,m,galaxy_a55_5g_8/128,26589.0,no,no,yes,yes,1,Low,Medium
outside_rangamati,46,m,iphone_16_pro_256gb,16809.0,no,no,no,no,0,Low,Medium
outside_rangamati,26,m,pixel_7a_8/128,16631.0,no,yes,no,yes,2,Medium,Medium
inside_rangamati,22,m,iqoo_neo_9_pro_5g_12/256,24633.0,yes,no,yes,no,1,Low,Medium
inside_rangamati,31,f,iphone_16_pro_max_1tb,73424.0,no,yes,no,no,1,Low,High
inside_rangamati,43,f,pixel_7a_8/128,24979.0,yes,yes,yes,no,2,Medium,Medium
rangamati_sadar,42,f,galaxy_s24_ultra_12/256,21109.0,yes,no,no,yes,2,Medium,Medium
rangamati_sadar,28,m,galaxy_s24_ultra_12/256,37443.0,no,yes,yes,yes,2,Medium,High
inside_rangamati,35,m,pixel_7a_8/128,18207.0,yes,no,no,yes,2,Medium,Medium
outside_rangamati,23,m,r-70_turbo_5g_6/128,19000.0,yes,yes,no,no,2,Medium,Medium
outside_rangamati,35,f,r-70_turbo_5g_6/128,16299.0,yes,no,no,yes,2,Medium,Medium
inside_rangamati,19,f,narzo_n53_4/64,12948.0,no,no,no,no,0,Low,Low
inside_rangamati,44,f,moto_g85_5g_8/128,20211.0,no,no,no,yes,1,Low,Medium
rangamati_sadar,27,m,vivo_t3x_5g_8/128,25630.0,no,yes,no,yes,2,Medium,Medium
rangamati_sadar,48,f,galaxy_s24_ultra_12/256,15285.0,no,yes,no,yes,2,Medium,Medium
inside_rangamati,42,f,moto_g85_5g_8/128,20425.0,yes,no,no,yes,2,Medium,Medium
rangamati_sadar,34,f,iphone_16_pro_256gb,26221.0,no,no,no,yes,1,Low,Medium
inside_rangamati,42,f,galaxy_s24_ultra_12/256,24376.0,no,yes,no,yes,2,Medium,Medium
inside_rangamati,28,f,redmi_note_12_pro_8/128,22717.0,no,no,yes,no,0,Low,Medium
inside_rangamati,30,m,galaxy_s24_ultra_12/256,19059.0,no,no,no,no,0,Low,Medium
rangamati_sadar,39,m,iphone_16_pro_max_1tb,32889.0,yes,yes,no,no,2,Medium,High
inside_rangamati,49,m,note_11s_6/128,18533.0,no,yes,no,yes,2,Medium,Medium
rangamati_sadar,26,f,iphone_16_pro_256gb,16991.0,yes,no,yes,yes,2,Medium,Medium
outside_rangamati,41,f,vivo_t3x_5g_8/128,18818.0,yes,yes,no,yes,3,High,Medium
inside_rangamati,28,f,iphone_16_pro_max_1tb,23106.0,yes,no,no,yes,2,Medium,Medium
rangamati_sadar,31,m,pixel_7a_8/128,20044.0,no,yes,no,yes,2,Medium,Medium
rangamati_sadar,29,f,pixel_7a_8/128,14728.0,yes,yes,no,yes,3,High,Low
outside_rangamati,26,f,pixel_7a_8/128,18714.0,yes,no,no,yes,2,Medium,Medium
outside_rangamati,32,m,pixel_8_pro_12/256,25180.0,yes,yes,no,no,2,Medium,Medium
rangamati_sadar,27,m,moto_g85_5g_8/128,26010.0,no,no,no,yes,1,Low,Medium
rangamati_sadar,42,f,r-70_turbo_5g_6/128,16814.0,yes,yes,yes,yes,3,High,Medium
rangamati_sadar,46,m,pixel_8_pro_12/256,111951.0,no,yes,yes,no,1,Low,High
inside_rangamati,26,m,iqoo_z7_5g_6/128,13739.0,no,no,yes,no,0,Low,Low
inside_rangamati,33,m,note_14_pro_5g_8/256,36060.0,yes,yes,no,yes,3,High,High
rangamati_sadar,50,f,note_14_pro_5g_8/256,25121.0,no,yes,no,yes,2,Medium,Medium
outside_rangamati,47,f,iqoo_z7_5g_6/128,19290.0,no,yes,no,yes,2,Medium,Medium
outside_rangamati,39,m,iphone_16_pro_256gb,23048.0,yes,no,no,no,1,Low,Medium
outside_rangamati,37,m,moto_g85_5g_8/128,26212.0,no,yes,no,yes,2,Medium,Medium
rangamati_sadar,38,f,r-70_turbo_5g_6/128,23989.0,no,yes,yes,yes,2,Medium,Medium
inside_rangamati,38,f,iphone_16_pro_max_1tb,21682.0,yes,no,yes,yes,2,Medium,Medium
inside_rangamati,43,m,narzo_n53_4/64,13038.0,yes,yes,no,no,2,Medium,Low
rangamati_sadar,49,m,pixel_8_pro_12/256,23625.0,no,yes,no,no,1,Low,Medium
outside_rangamati,21,f,galaxy_s24_ultra_12/256,15684.0,no,no,no,yes,1,Low,Medium
outside_rangamati,50,f,iqoo_z7_5g_6/128,18411.0,yes,no,yes,yes,2,Medium,Medium
inside_rangamati,24,m,redmi_note_12_pro_8/128,15497.0,yes,no,yes,yes,2,Medium,Medium
outside_rangamati,24,f,vivo_t3x_5g_8/128,26027.0,no,no,no,no,0,Low,Medium
outside_rangamati,33,m,pixel_7a_8/128,13240.0,yes,no,no,no,1,Low,Low
outside_rangamati,34,f,iphone_16_pro_max_1tb,17423.0,no,yes,no,no,1,Low,Medium
rangamati_sadar,34,m,iqoo_neo_9_pro_5g_12/256,14541.0,no,yes,yes,yes,2,Medium,Low
rangamati_sadar,40,m,narzo_n53_4/64,13442.0,yes,no,no,yes,2,Medium,Low
inside_rangamati,28,f,pixel_7a_8/128,20891.0,no,no,no,yes,1,Low,Medium
rangamati_sadar,45,m,pixel_7a_8/128,36489.0,no,no,no,yes,1,Low,High
rangamati_sadar,35,f,redmi_note_12_pro_8/128,17556.0,no,yes,no,yes,2,Medium,Medium
rangamati_sadar,33,f,narzo_n53_4/64,13142.0,yes,yes,yes,yes,3,High,Low
inside_rangamati,30,f,note_11s_6/128,17246.0,no,no,no,yes,1,Low,Medium
outside_rangamati,45,m,vivo_y200_5g_6/128,14464.0,no,yes,yes,yes,2,Medium,Low
outside_rangamati,49,f,redmi_note_12_pro_8/128,15968.0,yes,no,no,yes,2,Medium,Medium
inside_rangamati,25,m,iqoo_z7_5g_6/128,20396.0,no,no,yes,no,0,Low,Medium
outside_rangamati,33,f,iqoo_z7_5g_6/128,25093.0,yes,no,no,yes,2,Medium,Medium
rangamati_sadar,45,f,note_14_pro_5g_8/256,14279.0,no,no,no,yes,1,Low,Low
rangamati_sadar,19,m,note_14_pro_5g_8/256,21239.0,no,no,no,yes,1,Low,Medium
inside_rangamati,18,m,redmi_note_12_pro_8/128,27654.0,no,yes,no,no,1,Low,Medium
outside_rangamati,29,f,iqoo_neo_9_pro_5g_12/256,24015.0,no,yes,yes,no,1,Low,Medium
inside_rangamati,46,f,moto_g85_5g_8/128,25061.0,no,yes,yes,yes,2,Medium,Medium
outside_rangamati,42,m,iqoo_neo_9_pro_5g_12/256,23832.0,no,no,no,yes,1,Low,Medium
outside_rangamati,38,m,note_14_pro_5g_8/256,21843.0,no,yes,yes,yes,2,Medium,Medium
inside_rangamati,32,m,note_14_pro_5g_8/256,20888.0,yes,no,yes,yes,2,Medium,Medium
inside_rangamati,38,m,galaxy_s24_ultra_12/256,16071.0,no,no,no,yes,1,Low,Medium
outside_rangamati,43,m,vivo_y200_5g_6/128,23391.0,yes,no,no,yes,2,Medium,Medium
rangamati_sadar,46,m,moto_g85_5g_8/128,26354.0,no,no,no,yes,1,Low,Medium
inside_rangamati,36,m,galaxy_a55_5g_8/128,19490.0,no,no,yes,yes,1,Low,Medium
inside_rangamati,38,f,galaxy_a55_5g_8/128,21195.0,no,no,no,no,0,Low,Medium
